	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
"33054_at"	29.2	10	10	10	10	10	10	10	158	135	378	10	10	10	122	10	10	26	10	10	10	10	10	10	109	10	10	10	59	10	127	319	76	188	10	10	196	329	10	10	10	10	10	10	61	277	164	87	10	10	10	10	246	1069	10	10	701	10	45	1068	10	10	10	126	27	10	10	10	10	1454	234	768
"33058_at"	10	23	359	10	114	10	151	402	237	10	10	474	10	499	10	10	188	180	10	14	19	10	290	10	10	10	10	10	10	10	10	10	58	376	10	10	10	10	101	10	194	10	800	10	10	118	343	10	10	10	10	10	10	10	127	23	10	10	10	10	10	10	1040	10	852	10	78	147	10	10	195	10
"33086_at"	64.7	138	123	10	10	10	10	395	10	44	10	17	10	10	10	10	10	95	10	10	168	10	10	209	70	183	103	10	235	10	10	10	365	10	232	10	108	10	133	140	1081	80	114	690	10	83	161	32	10	10	10	10	10	151	10	67	10	37	10	148	10	241	10	10	587	480	304	1862	692	10	53	10
"33583_r_at"	10	10	143	10	42	10	10	10	10	546	10	10	10	10	10	10	10	10	10	10	10	10	36	10	10	10	10	10	10	10	735	10	10	133	169	10	10	10	69	10	10	10	10	10	422	57	225	640	311	98	563	97	10	253	186	10	10	160	543	94	592	298	296	642	256	10	276	189	152	150	481	753
"33589_at"	144	10	10	10	10	136	10	10	10	10	10	10	10	10	10	199	10	10	124	569	10	10	497	10	329	10	306	121	285	80	10	216	123	25	475	372	116	457	86	517	10	10	193	161	10	10	619	10	195	10	10	116	10	47	10	10	10	10	10	10	10	10	10	10	1418	1025	625	10	595	10	10	1327
"33608_at"	10	10	10	10	10	23	10	10	10	10	10	10	10	10	10	10	10	100	29	10	120	10	10	85	221	10	29	10	10	62	10	10	97	10	68	10	10	10	244	552	589	409	318	74	10	311	10	10	10	10	10	10	302	10	10	30	258	225	10	257	10	10	260	10	10	483	10	631	10	242	90	10
"33620_at"	10	158	10	10	10	75	28	732	10	230	10	280	10	10	10	36	10	10	134	10	684	188	144	10	10	10	10	10	10	10	10	10	10	68	10	10	10	10	10	10	134	10	10	10	10	250	437	10	10	10	10	740	323	2044	10	10	10	921	10	973	196	1233	2365	202	234	922	2388	290	141	10	241	205
"33621_at"	10	10	37	10	36	10	69	145	44	10	59	10	10	201	10	10	10	10	10	19	48	234	10	10	10	10	17	10	10	10	10	10	136	10	10	10	22	10	10	257	284	10	47	34	91	10	155	10	10	33	32	10	78	112	10	10	218	10	256	10	10	10	168	172	105	141	99	104	10	327	356	390
"33622_at"	283.2	10	114	10	505	272	169	1154	10	168	10	172	10	592	494	10	10	261	149	10	10	10	10	10	10	10	433	10	10	10	408	10	267	10	45	172	265	10	541	10	19	244	337	10	545	122	495	10	10	942	10	10	10	2345	79	439	10	1947	10	608	1583	1105	1818	579	355	997	674	344	708	669	1350	1051
"33627_at"	32.6	336	10	298	1462	10	10	483	10	10	10	10	55	10	10	184	137	10	10	558	10	10	270	563	101	10	431	10	60	10	10	10	10	10	10	46	10	13	174	170	479	60	10	734	174	10	50	10	10	143	204	10	10	10	116	468	147	10	855	1014	190	178	114	784	10	784	573	202	459	10	360	123
"33638_at"	10	10	556	10	10	10	10	10	42	10	10	12	18	10	231	10	10	10	10	200	10	726	10	10	10	489	10	125	221	10	10	388	420	10	192	10	10	102	10	159	10	10	10	211	10	10	10	303	77	404	10	10	286	10	10	370	10	451	10	10	10	99	1234	10	10	10	232	653	916	10	1339	249
"33639_g_at"	376.7	10	10	10	434	150	91	239	142	10	108	10	10	110	10	10	10	10	143	11	92	112	10	120	10	515	99	10	10	10	10	23	10	10	10	100	209	10	10	228	193	134	202	244	71	10	10	112	180	182	10	10	226	129	636	10	65	10	10	10	10	498	120	703	10	551	442	593	234	274	251	10
"33642_s_at"	10	496	10	10	261	10	10	226	10	10	10	176	283	287	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	355	117	10	318	10	10	571	10	108	10	87	10	10	532	788	10	233	34	10	10	10	10	99	165	10	474	125	459	75	507	50	10	10	344	10	218	20	337	215	1127	10	10
"33645_at"	103.2	10	10	77	10	10	11	163	10	10	252	10	10	10	10	10	10	10	10	10	46	94	35	10	131	10	10	10	10	10	45	101	138	311	10	369	184	12	10	105	345	26	10	36	302	381	507	86	10	10	10	164	310	125	62	228	236	255	10	242	112	10	386	506	10	441	31	604	282	123	83	303
"33693_at"	59.8	149	10	35	15	189	132	175	10	193	108	46	10	125	10	327	10	65	66	147	10	131	189	10	50	61	67	10	10	10	10	64	167	138	222	10	10	140	66	10	10	10	305	205	71	113	10	10	10	10	10	10	146	10	10	10	10	10	10	22	10	10	217	10	164	10	36	21	170	10	191	10
"34078_s_at"	61.8	424	369	10	303	831	76	208	10	10	638	10	10	661	10	10	10	10	528	11	10	568	141	89	402	10	62	319	10	10	179	319	10	10	10	10	10	10	14	862	831	31	560	10	245	217	10	10	10	10	10	162	40	10	820	844	64	10	10	1239	61	183	122	10	10	412	841	10	122	10	311	1116
"34094_i_at"	408.8	249	10	10	289	10	74	10	104	10	391	10	524	99	10	10	10	10	10	10	10	92	240	126	125	10	83	10	10	10	10	324	10	10	10	10	10	10	483	228	131	10	52	58	430	10	325	10	131	10	10	10	10	10	196	43	10	10	10	10	10	223	10	231	10	367	10	10	103	10	49	10
"34095_f_at"	10	197	451	133	10	36	297	456	10	172	10	258	855	282	285	412	22	116	109	995	10	168	808	10	187	10	465	349	31	158	50	10	421	10	39	136	10	16	610	55	10	10	10	10	1664	10	128	201	162	292	10	192	10	10	10	972	10	10	36	183	102	43	10	722	34	1135	62	10	686	10	1775	10
"34102_at"	53.9	154	66	10	10	10	10	282	10	10	115	10	10	10	10	18	10	10	10	170	116	181	56	142	344	76	113	10	59	124	10	60	10	171	10	30	10	10	104	10	10	10	10	10	259	182	140	10	148	10	76	17	178	10	120	38	331	42	10	10	10	68	52	10	10	10	158	177	85	73	69	10
"34105_f_at"	10	741	2762	10	2148	954	1201	712	149	655	10	300	9489	10	10	132	10	10	628	4998	1032	2036	3472	543	190	10	1457	10	10	10	10	486	10	199	10	8454	10	10	2608	718	10	10	2451	10	13405	773	1880	1751	10	10	1374	10	2634	313	1988	6067	4217	2457	10	2058	3730	10	1887	7264	10	12909	4037	1284	6553	93	11776	10
"34106_at"	62.4	70	154	10	368	10	81	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	100	54	10	10	446	10	10	10	226	39	10	10	10	10	10	10	697	10	25	10	10	10	81	10	10	10	53	206	10	10	10	10	10	10	284	10	297	120	763	669	925	10	10	393	194	368	12	10	10	10
"34128_at"	243	96	278	10	398	261	156	18	10	10	244	10	86	10	10	10	10	10	10	10	245	10	142	198	86	36	229	91	110	10	201	60	10	157	130	31	10	10	10	10	87	168	10	121	10	61	173	10	109	10	280	10	10	10	10	10	10	10	10	10	10	302	10	10	10	10	10	10	89	10	10	64
"34130_at"	10	93	10	10	200	34	10	10	137	285	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	125	60	176	71	10	10	10	274	10	352	10	10	286	358	10	10	10	10	10	10	160	10	259	344	677	390	310	91	226	10	10	10	10	10	301	165	277	10	10	10	10
"34154_at"	292.6	327	10	10	10	526	285	50	267	127	110	10	133	1204	635	10	10	640	277	10	115	627	10	408	271	264	10	440	529	306	392	708	15	99	702	10	278	10	74	10	277	10	10	419	10	381	10	10	118	10	10	10	10	774	10	10	10	10	10	10	10	10	748	142	630	250	10	10	10	10	10	10
"34155_s_at"	46.7	55	10	10	182	242	134	86	228	10	10	99	46	10	32	43	41	10	54	10	167	10	91	120	179	10	22	10	38	10	10	22	10	10	50	77	10	10	60	43	64	10	10	10	139	10	452	10	10	10	10	10	19	524	527	305	228	10	10	82	10	10	15	10	10	157	10	350	220	290	10	10
"34165_at"	65.7	365	132	10	574	90	10	10	223	370	233	38	10	536	10	10	10	240	390	10	10	10	260	10	10	185	10	10	10	10	10	242	353	10	10	209	10	10	492	649	798	187	10	10	50	433	10	10	10	164	224	117	10	432	10	10	10	179	10	566	10	239	1246	10	10	10	10	10	1010	759	865	10
"34168_at"	11918	11523	2374	13125	9363	9061	13229	7048	10111	8282	9378	11770	8224	11741	8070	13499	6844	9129	6284	8168	14350	1584	10364	12024	11435	312	4670	10	108	7103	1346	507	794	10	10	325	2662	156	10	1943	10	10	1606	6869	37	10	10	10	10	10	10	153	10	297	181	10	10	10	911	10	10	210	10	10	10	10	10	10	10	138	10	10
"34537_at"	325.1	10	130	10	48	28	10	13	498	10	15	10	178	10	998	10	421	45	158	15	10	265	25	58	10	55	340	10	100	10	10	201	10	238	112	58	10	10	10	129	119	10	35	88	532	164	10	10	184	81	10	10	40	10	135	10	10	10	707	10	794	122	96	12	144	402	117	106	324	225	481	10
"34545_at"	110.9	125	10	10	1313	258	149	319	786	262	41	269	409	10	10	105	554	129	10	121	403	10	314	388	10	10	30	146	184	549	165	81	171	481	152	10	10	10	104	10	210	10	115	262	103	10	95	10	10	10	129	10	66	10	10	10	10	10	176	10	10	10	187	10	10	1183	10	192	50	64	10	10
"34549_g_at"	529.7	240	82	10	240	10	10	633	10	661	10	659	377	10	846	10	10	10	101	285	10	10	422	10	174	10	18	129	10	10	168	10	10	10	10	207	100	10	137	231	10	10	10	10	27	10	10	10	10	205	10	10	10	74	80	10	10	10	864	625	432	158	928	10	10	1136	271	1409	10	10	10	10
"34552_at"	10	151	10	10	113	10	10	51	10	10	153	10	10	176	10	10	199	10	10	93	10	89	10	43	10	94	10	10	10	23	10	10	136	10	114	10	23	10	305	334	192	10	10	10	1057	175	652	885	141	184	124	1142	735	746	1551	488	481	429	331	350	81	184	1682	255	10	138	503	1308	160	456	428	877
"34554_at"	10	19	176	84	10	313	176	165	10	22	387	131	672	304	10	10	92	55	10	10	193	10	10	388	558	166	194	79	119	10	193	10	1132	10	465	10	716	10	704	707	734	114	10	10	10	10	39	240	27	10	80	10	10	10	346	55	169	10	10	738	10	10	1381	10	105	14	145	396	73	10	969	10
"34572_at"	182.8	10	204	524	10	10	70	10	196	10	10	10	41	321	271	179	10	10	10	36	173	207	380	85	157	477	10	160	42	107	61	240	122	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	21	10	10	10	10	10	10	10	10	10	711	10	10	63	10	10	10	10	10	56	10	10	10	10
"34587_at"	46.5	25	10	10	10	10	26	10	25	12	143	48	10	15	10	54	10	61	58	10	370	86	25	10	190	10	10	10	10	10	10	10	45	26	10	10	10	10	10	10	10	10	41	10	10	10	10	65	10	10	10	10	10	10	10	4170	10	130	10	10	10	10	10	10	10	10	10	10	161	44	108	10
"34602_at"	135.6	52	110	10	10	189	10	20	10	10	56	43	10	10	71	10	10	10	10	10	193	66	348	10	186	10	10	517	10	10	492	10	10	10	10	105	10	10	191	212	10	10	10	10	10	10	64	75	155	10	10	84	10	10	252	10	10	373	10	75	10	10	10	10	10	894	10	10	10	87	72	10
"34607_at"	10	10	318	10	50	182	68	198	133	57	65	207	105	111	10	10	10	10	121	181	10	355	169	146	10	49	10	10	10	10	10	11	87	293	114	10	10	47	87	10	10	66	190	55	10	10	483	22	1029	10	46	10	10	60	10	55	41	10	14	10	10	42	10	15	10	13	295	57	67	25	121	10
"34627_at"	10	10	10	10	10	10	10	1237	182	10	10	335	1105	10	10	10	10	10	157	10	1599	10	10	10	10	10	10	10	10	10	10	10	949	10	1236	10	10	10	10	10	10	10	10	10	1418	10	82	10	10	10	10	10	587	10	10	10	10	10	2074	10	239	10	10	10	10	2085	405	2852	10	10	10	10
"34632_r_at"	10	10	10	10	10	29	10	28	4425	10	10	12	10	10	1016	10	10	21	54	10	10	10	69	10	23	24	10	10	10	10	10	10	68	10	10	10	10	10	10	10	10	10	10	10	74	10	10	10	10	10	10	10	10	10	10	10	10	10	10	32	10	10	10	10	10	10	10	10	10	10	10	10
"34636_at"	10	10	10	10	10	425	10	162	115	951	600	10	159	10	10	10	169	254	10	10	101	776	10	10	10	10	10	26	10	10	10	10	808	175	331	226	262	10	852	10	58	10	10	10	1259	10	164	757	10	832	788	394	814	144	1278	294	121	10	442	1370	346	80	263	762	10	638	116	564	10	1607	1342	250
"34637_f_at"	10	648	10	579	10	494	94	10	10	10	10	577	10	10	433	463	327	10	10	10	10	10	10	586	10	10	10	10	188	10	10	10	76	10	131	10	274	589	10	10	10	308	10	10	10	24	10	279	149	118	139	79	194	10	117	205	132	80	10	41	217	30	34	200	249	10	10	10	10	141	57	483
"34652_at"	10	10	10	322	760	62	146	269	1069	10	360	10	2200	10	219	111	10	10	223	10	743	10	843	10	10	10	10	10	618	10	337	10	72	1904	1252	10	10	383	10	10	108	1032	849	433	1243	47	2695	586	982	506	550	787	1145	10	371	1462	10	1630	2150	1114	2107	10	10	10	908	1388	687	1398	10	516	1351	1974
"35014_at"	10	54	10	866	10	32	1433	10	437	188	281	56	10	1278	31	362	192	10	14	764	584	360	36	10	482	10	1039	10	62	10	10	66	10	10	17	10	62	90	10	512	10	10	10	72	10	10	10	10	10	10	56	10	10	10	10	10	11	10	10	61	10	10	10	10	10	10	10	56	90	10	10	53
"35024_at"	10	10	10	10	10	44	10	80	10	38	10	10	10	10	10	10	10	10	57	348	10	10	34	10	32	10	10	10	10	10	16	10	10	16	10	146	10	114	261	10	122	32	10	10	200	47	10	10	10	10	10	78	10	509	508	107	515	439	10	573	536	10	10	102	10	10	286	10	214	10	294	487
"35036_at"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	36	66	80	10	10	10	10	88	61	149	10	10	123	10	10	40	1350	10	59	10	10	109	69	10	40	10	329	134	44	95	10	10	10	502	10	10	10	10	495	582	34	657	10	10	160	10	179	17
"35047_at"	10	366	10	10	323	320	97	50	425	260	10	10	302	325	10	10	325	174	147	10	330	841	10	308	118	11	309	153	115	66	10	367	79	360	63	10	225	10	10	715	10	245	54	140	144	10	462	10	10	414	10	212	10	423	603	10	10	10	10	280	10	267	10	10	90	10	10	543	250	10	225	12
"35064_at"	50.1	80	81	10	76	165	46	10	95	187	67	120	10	10	10	38	120	10	57	170	53	10	212	34	10	10	99	10	10	35	10	10	10	10	32	218	10	96	338	10	241	10	126	89	592	133	10	10	10	10	10	10	265	173	10	113	314	96	10	10	10	249	416	336	176	10	10	10	145	34	683	10
"35071_s_at"	10	10	10	10	10	121	121	10	10	381	110	10	10	760	10	312	632	10	50	216	748	362	164	166	1204	184	684	36	376	432	10	10	13	10	17	10	469	163	120	375	171	10	771	865	10	10	10	10	10	10	10	683	483	278	10	365	261	10	10	10	10	10	225	10	806	10	203	10	10	10	157	10
"35078_at"	10	10	147	10	543	10	10	630	10	21	163	62	10	10	660	10	10	10	174	10	498	10	10	28	108	187	72	10	306	10	150	10	110	602	55	435	10	10	10	308	10	10	10	279	707	10	10	160	10	10	10	10	10	10	10	10	531	10	139	10	10	10	456	10	10	944	10	871	10	10	10	1266
"35090_g_at"	10	10	202	10	527	10	10	298	10	10	10	286	10	10	168	35	692	16	10	10	10	10	10	142	103	10	10	201	454	13	88	189	10	10	10	10	615	1019	750	10	279	1047	10	967	734	158	666	10	532	550	72	190	10	1012	10	487	10	10	2156	10	812	532	631	1079	593	77	243	336	10	1294	717	876
"35092_at"	342.4	295	136	271	301	232	399	165	618	291	522	123	10	640	214	445	50	460	329	10	191	475	135	205	413	397	488	10	328	341	88	53	491	400	10	634	308	605	10	864	38	10	10	15	10	10	10	10	10	10	10	282	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"35095_r_at"	10	10	63	10	10	10	10	80	10	10	10	10	10	141	10	10	10	10	10	10	154	10	10	10	10	211	10	10	10	10	156	47	44	209	35	10	76	196	355	276	328	220	10	10	238	10	10	654	10	10	10	96	210	282	286	662	170	296	10	213	295	10	144	404	810	250	85	217	254	80	10	96
"35098_at"	268.8	110	10	122	402	10	10	10	158	390	10	10	10	282	10	10	259	179	10	46	199	10	278	295	10	757	160	10	10	10	95	269	115	10	92	228	10	199	10	10	108	10	10	10	61	10	10	162	234	17	188	10	64	10	225	244	10	252	124	37	10	154	10	209	10	10	218	10	10	254	10	10
"35099_at"	94.7	155	10	10	83	10	11	283	10	104	101	10	10	10	10	10	10	168	10	10	18	265	406	85	182	46	10	10	10	10	10	110	10	10	31	10	51	10	145	10	806	10	278	10	10	501	25	10	10	10	626	10	256	10	10	105	370	41	52	161	10	174	10	10	10	10	10	10	10	10	45	10
"35101_at"	10	269	10	10	10	10	10	10	10	10	10	10	10	78	10	21	18	56	10	10	10	81	10	10	10	146	10	10	10	10	10	10	144	10	10	10	10	13	470	181	17	10	10	16	442	10	245	106	372	10	55	10	465	70	195	209	510	118	10	10	10	108	712	10	210	10	78	10	17	172	496	195
"35106_at"	136.5	217	115	10	278	72	27	10	10	10	10	10	384	556	10	10	10	10	10	390	10	80	413	10	50	10	28	137	15	10	296	10	10	10	10	260	101	10	527	210	219	231	455	10	10	133	196	10	105	620	55	46	10	719	632	272	320	267	100	549	10	10	775	534	10	434	455	614	353	10	166	181
"35117_at"	10	10	47	10	10	10	10	10	10	10	206	10	10	10	10	448	10	260	10	10	89	784	10	10	10	317	10	10	10	10	10	73	274	533	10	10	241	843	491	377	660	1421	10	10	10	10	727	607	916	417	442	286	487	10	10	743	422	415	10	644	10	346	10	10	10	10	10	10	10	997	10	774
"35500_at"	99.1	113	314	10	26	10	108	10	91	10	10	10	10	10	10	10	60	56	129	119	135	107	10	10	128	170	62	10	19	10	10	10	210	67	10	10	10	10	130	174	171	10	121	263	287	155	211	10	10	10	10	327	147	10	108	10	10	246	10	10	10	23	479	10	38	433	567	749	132	10	68	10
"35511_at"	851.7	274	315	10	10	10	116	10	10	10	432	10	10	314	132	10	10	60	10	83	173	10	493	102	283	331	147	226	10	612	161	342	79	517	10	10	210	10	10	957	10	10	70	10	10	10	10	10	10	10	10	10	10	286	10	10	10	267	10	10	10	79	10	10	453	10	10	65	10	910	10	10
"35512_at"	117.6	10	249	160	10	10	10	87	10	10	10	185	10	136	802	10	10	218	10	10	10	227	10	10	10	497	10	10	10	10	10	10	12	10	10	10	10	10	292	10	10	151	10	32	162	191	10	10	10	10	38	13	10	10	200	10	10	10	10	63	10	290	244	10	10	10	238	44	487	10	10	21
"35542_at"	10	183	10	10	175	10	10	394	10	10	10	38	10	184	10	10	29	150	10	10	26	10	10	10	28	81	381	10	10	10	294	10	10	192	10	10	290	10	167	117	50	10	163	253	10	10	10	10	204	10	10	10	10	1008	10	121	63	351	10	494	46	10	369	10	40	311	299	59	10	10	10	10
"35579_at"	10	16	10	23	262	10	129	10	371	35	230	133	233	10	10	93	10	362	241	115	10	200	10	176	113	10	37	162	10	266	10	64	128	1092	332	210	10	313	225	10	116	10	283	288	544	404	10	10	73	168	10	336	133	378	10	301	10	10	187	10	10	10	486	272	89	10	10	10	13	168	399	10
"35583_at"	118.1	10	35	10	1547	10	10	10	10	10	10	10	3602	10	10	10	10	10	2343	1716	177	10	10	10	10	10	10	269	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	399	10	10	32	10	10	10	10	10	10	10	10	10	10	10	330	10	1617	10	10	10	10	1176	10	10	10	10	10	10
"35588_at"	1019	535	719	1936	761	775	1337	508	288	2617	1616	796	287	463	218	1310	400	579	1145	823	10	664	1086	1438	409	37	316	345	284	1031	10	198	306	27	283	805	57	658	10	10	10	1308	19	184	10	10	10	10	10	10	10	10	10	10	10	231	10	10	10	10	10	572	10	10	10	10	10	10	10	10	10	10
"35596_at"	196.5	119	10	10	391	52	269	10	10	344	596	10	168	374	10	45	10	10	10	458	10	148	174	10	91	10	75	10	10	10	389	10	298	10	10	10	10	10	236	10	94	137	204	10	10	10	77	10	10	10	10	10	10	10	313	10	375	23	10	35	263	10	654	322	78	308	137	259	10	253	262	96
"35602_at"	151.8	191	46	488	160	442	10	106	10	10	115	17	10	10	10	10	10	10	10	10	422	10	199	178	10	67	10	10	436	10	93	275	459	10	544	10	10	116	483	10	10	10	10	10	418	267	470	10	257	10	10	265	10	10	361	429	10	10	10	10	360	10	10	10	10	222	10	601	10	352	10	391
"35606_at"	47.3	32	10	10	41	10	10	10	10	10	10	10	10	10	10	36	10	48	10	10	10	16	10	62	18	58	13	10	372	12	10	10	103	10	75	10	1095	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	282	241	10	8449	922	10	2445	10	10	10	10	10	10	178	1442	334	10	2249	10	10
"36336_s_at"	100.3	10	10	10	431	10	94	153	10	10	10	10	97	10	10	10	26	10	10	727	10	10	390	10	215	10	640	10	10	10	250	72	23	10	12	10	10	78	59	10	245	10	10	10	775	236	406	10	10	603	10	10	594	403	10	745	745	91	134	10	3440	497	1604	1073	139	1588	1827	1233	731	36	451	202
"36344_at"	10	230	10	10	683	10	10	943	438	618	1295	56	490	405	442	10	10	623	833	459	165	207	10	10	129	105	324	10	167	263	10	210	23	601	10	575	10	10	10	10	10	10	53	10	10	10	704	10	528	1401	10	182	10	10	10	10	10	311	10	10	10	10	10	10	200	10	10	533	10	222	10	524
"36354_at"	346.9	400	10	123	10	458	153	10	235	10	506	172	700	10	56	10	165	10	60	10	153	10	282	172	10	10	10	10	10	388	331	286	10	10	205	10	10	10	10	10	10	10	569	10	10	412	10	10	10	112	672	157	10	10	10	10	56	10	849	10	10	10	10	10	10	10	89	10	10	10	10	10
"36368_at"	178.3	10	273	94	10	436	300	299	10	1285	10	170	10	803	10	392	10	96	10	10	334	684	10	10	524	277	10	10	557	10	473	10	117	10	10	559	10	986	650	943	10	261	10	10	10	575	622	650	648	441	577	845	220	10	10	409	656	621	10	10	12	105	10	10	324	981	10	1177	757	591	566	10
"36372_at"	10	10	10	10	116	10	10	10	186	10	502	10	136	10	10	10	10	10	10	10	10	353	10	10	10	24	10	10	10	10	2126	11	60	1498	10	256	10	34	10	10	3978	10	4111	10	10	2005	10	699	10	10	265	938	18	10	10	2678	10	10	10	10	143	10	10	5731	10777	10	10	10	9369	10	10	10
"36377_at"	304.2	250	10	10	143	261	30	52	162	60	49	10	174	66	10	10	10	10	10	10	122	103	299	10	10	10	10	10	26	10	10	104	10	266	66	10	10	117	159	10	10	10	306	10	88	126	1077	10	10	10	10	10	75	10	10	157	10	115	10	10	10	10	120	10	10	132	10	10	51	156	10	10
"36383_at"	1545.9	1061	21	10	7521	668	1967	1173	159	369	410	28	1849	350	193	10	10	10	979	1619	642	103	2249	335	490	10	1078	10	10	10	1599	36	121	10	40	717	860	10	10	604	10	268	49	10	270	10	10	10	464	460	10	10	69	1586	1452	95	329	10	1108	142	110	408	170	10	10	10	10	10	219	10	253	10
"36386_at"	409.4	135	201	90	216	93	98	10	42	10	138	69	32	10	10	10	133	10	64	139	81	215	129	185	10	10	10	35	10	10	10	40	10	10	10	40	10	10	10	10	10	10	158	10	213	260	254	52	250	277	10	10	210	10	149	333	271	50	76	90	375	648	516	345	10	74	237	656	10	10	10	10
"36387_at"	41.1	236	10	10	454	102	10	152	186	10	10	10	10	435	10	10	10	63	10	285	258	202	247	88	169	10	219	69	10	10	10	64	232	10	90	10	10	16	470	10	154	10	200	10	573	351	300	10	10	10	10	163	83	10	193	75	10	301	10	66	10	148	42	10	10	36	384	10	118	359	128	17
"36392_at"	208.4	268	10	10	376	17	534	491	493	17	434	210	127	346	207	441	101	10	329	295	245	507	454	10	10	10	10	10	10	10	10	27	46	10	10	10	10	10	10	51	10	22	10	10	10	10	10	10	75	10	10	10	10	10	10	10	10	10	10	16	10	10	10	10	10	26	21	10	10	10	10	10
"36393_at"	53.6	33	10	10	10	81	160	904	126	10	82	125	306	10	43	21	10	20	126	10	379	10	16	10	10	10	10	10	471	59	10	10	92	108	350	112	247	194	36	78	10	151	10	124	395	50	161	54	15	10	105	10	216	15	331	301	308	159	292	199	429	10	10	10	56	829	43	1043	10	10	10	10
"36394_at"	1000.3	335	95	19	10	26	10	32	104	64	84	245	410	585	10	40	41	74	79	10	10	225	10	43	83	11	10	10	33	10	10	10	139	122	147	106	10	170	10	10	10	209	19	10	70	128	10	10	10	10	54	10	58	10	364	224	10	10	10	338	10	134	10	257	10	33	26	58	10	461	444	705
"36401_at"	10	10	138	10	10	146	10	10	10	77	10	10	353	10	10	43	733	66	123	10	100	10	10	180	270	10	428	10	61	10	10	117	10	10	10	10	10	56	10	10	10	10	10	10	1005	449	10	593	10	594	10	162	438	292	284	718	870	444	10	662	674	344	1304	10	445	826	10	691	861	10	576	699
"36408_at"	50.1	10	23	165	340	121	10	10	10	10	10	231	334	10	863	10	10	10	10	10	10	10	10	10	10	10	385	10	10	10	10	10	10	243	10	10	39	10	10	515	190	10	10	10	212	10	10	150	10	10	322	10	10	189	1564	837	1412	425	10	10	10	466	812	10	10	10	279	10	246	10	162	1030
"36422_s_at"	10	10	545	10	10	10	10	10	790	823	10	10	10	10	10	10	10	849	10	10	10	235	10	105	10	10	10	10	10	10	10	10	10	10	567	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	455	10	10	1889	10	10	10	10	10	10	10	10	10	1487	10	10
"36429_at"	300.3	10	109	10	10	10	10	51	10	10	10	481	302	10	10	10	166	10	10	10	312	10	242	10	36	160	37	10	365	45	75	10	10	288	190	10	10	299	10	176	416	556	308	10	393	349	1229	128	555	10	10	10	841	10	10	10	10	10	531	136	539	10	564	10	254	443	10	227	151	54	478	10
"36444_s_at"	10	143	10	10	10	10	10	10	10	136	73	33	10	10	402	10	10	10	10	10	91	10	10	261	10	362	108	10	190	10	40	102	108	1382	245	10	10	10	69	10	993	10	73	187	10	416	60	10	10	10	137	268	480	85	40	219	30	4086	10	130	10	10	308	1993	1091	584	305	10	10	419	833	10
"36445_at"	10	10	10	10	114	10	56	10	30	10	150	87	11	256	10	15	10	21	147	10	10	40	10	10	10	11	10	10	10	10	10	10	10	372	10	10	10	10	10	10	1122	10	131	10	10	259	10	10	10	10	42	298	115	10	10	166	10	3652	10	33	10	116	645	764	725	797	564	10	10	10	590	10
"36447_at"	10	10	10	10	47	10	10	1657	243	10	1515	426	2658	10	181	10	10	10	10	10	1227	252	50	10	215	10	59	1237	637	10	8996	1110	674	3214	150	1807	834	84	507	591	9315	735	7271	38	537	6606	594	1003	10	10	1689	1490	10	10	10	8001	10	664	2914	512	9091	253	1942	9958	14510	3171	597	10	10	57	1147	10
"36448_at"	380.9	271	10	10	384	23	215	10	12	10	10	10	97	10	10	10	110	10	10	176	286	83	297	78	289	33	27	10	10	166	184	10	10	10	10	10	10	10	26	189	10	10	10	41	118	10	54	113	232	1134	10	10	252	733	63	10	201	10	120	233	10	415	10	10	10	10	10	128	10	10	10	10
